Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Final Assignment - E2E Pembelian barang,Chrome 117.0.0.0,,,12-02-2024 13:18:22,12-02-2024 13:18:49,26.805s,PASSED
,,,,,,,
Test Cases/Final Assignment - Pembelian barang,Chrome 117.0.0.0,,,12-02-2024 13:18:22,12-02-2024 13:18:49,26.728s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,12-02-2024 13:18:22,12-02-2024 13:18:23,1.344s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 117.0.0.0,,,12-02-2024 13:18:23,12-02-2024 13:18:25,1.765s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,12-02-2024 13:18:25,12-02-2024 13:18:26,0.468s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/a_OUR PRODUCTS""))",Chrome 117.0.0.0,,,12-02-2024 13:18:26,12-02-2024 13:18:34,8.931s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/a_OUR PRODUCTS""))",Chrome 117.0.0.0,,,12-02-2024 13:18:34,12-02-2024 13:18:35,0.263s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/label_View Details""))",Chrome 117.0.0.0,,,12-02-2024 13:18:35,12-02-2024 13:18:35,0.266s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/button_ADD TO CART (1)""))",Chrome 117.0.0.0,,,12-02-2024 13:18:35,12-02-2024 13:18:37,2.379s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/button_CHECKOUT  (1,261.99)""))",Chrome 117.0.0.0,,,12-02-2024 13:18:37,12-02-2024 13:18:38,0.578s,PASSED
delay(2),Chrome 117.0.0.0,,,12-02-2024 13:18:38,12-02-2024 13:18:40,2.014s,PASSED
"setText(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/input_Already have an account_usernameInOrd_818284 (1)""), ""testinglagi"")",Chrome 117.0.0.0,,,12-02-2024 13:18:40,12-02-2024 13:18:41,0.591s,PASSED
"setEncryptedText(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/input_Username_passwordInOrderPayment (1)""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 117.0.0.0,,,12-02-2024 13:18:41,12-02-2024 13:18:42,1.162s,PASSED
delay(2),Chrome 117.0.0.0,,,12-02-2024 13:18:42,12-02-2024 13:18:44,2.009s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/button_LOGIN (1)""))",Chrome 117.0.0.0,,,12-02-2024 13:18:44,12-02-2024 13:18:44,0.267s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/button_NEXT (1)""))",Chrome 117.0.0.0,,,12-02-2024 13:18:44,12-02-2024 13:18:48,4.110s,PASSED
"click(findTestObject(""Object Repository/pembelian barang/Page_Advantage Shopping/button_PAY NOW (1)""))",Chrome 117.0.0.0,,,12-02-2024 13:18:48,12-02-2024 13:18:49,0.476s,PASSED
